id,firstName,lastName,email,phone,loyaltyTier
1,Bob,Black,bob.black1@mail.com,507-165-3290,Bronze
2,Charlie,Hall,charlie.hall2@mail.com,107-716-9814,Bronze
3,Charlie,Green,charlie.green3@mail.com,600-245-8885,Silver
4,John,Green,john.green4@example.com,442-952-2407,Platinum
5,Diana,Hall,diana.hall5@domain.org,100-117-7218,Platinum
6,Bob,Lee,bob.lee6@service.net,205-913-5259,Silver
7,Charlie,Black,charlie.black7@domain.org,992-745-7694,Silver
8,Peter,Doe,peter.doe8@mail.com,603-101-2902,Gold
9,Jane,Doe,jane.doe9@mail.com,379-491-3814,Platinum
10,Diana,Lee,diana.lee10@example.com,330-588-8328,Platinum
11,Grace,Brown,grace.brown11@mail.com,965-157-3872,Silver
12,Alice,Brown,alice.brown12@mail.com,414-116-8087,Platinum
13,Charlie,Lee,charlie.lee13@mail.com,511-365-8929,Gold
14,Jane,Jones,jane.jones14@domain.org,450-316-8556,Bronze
15,Alice,Black,alice.black15@example.com,521-485-3205,Platinum
16,Eve,Brown,eve.brown16@mail.com,783-726-1666,Gold
17,John,Jones,john.jones17@example.com,524-672-9221,Silver
18,Bob,Jones,bob.jones18@mail.com,244-535-1199,Bronze
19,Bob,King,bob.king19@domain.org,295-428-4977,Gold
20,Bob,Doe,bob.doe20@mail.com,733-852-7829,Silver
21,Eve,Doe,eve.doe21@domain.org,558-806-4162,Bronze
22,Alice,King,alice.king22@service.net,231-736-4399,Platinum
23,Peter,Black,peter.black23@service.net,814-498-9875,Silver
24,Bob,Jones,bob.jones24@domain.org,339-756-6278,Bronze
25,Frank,Doe,frank.doe25@service.net,870-787-8071,Silver
26,Peter,Lee,peter.lee26@mail.com,396-121-8384,Platinum
27,Grace,King,grace.king27@service.net,767-397-3120,Bronze
28,John,Black,john.black28@service.net,457-944-1112,Gold
29,Grace,Brown,grace.brown29@example.com,977-566-9375,Silver
30,Frank,Hall,frank.hall30@domain.org,482-177-1223,Bronze
31,John,Green,john.green31@mail.com,701-240-4344,Platinum
32,Eve,Lee,eve.lee32@mail.com,927-154-9988,Bronze
33,Eve,Smith,eve.smith33@service.net,134-900-6072,Gold
34,Eve,Jones,eve.jones34@domain.org,676-630-9718,Bronze
35,Peter,White,peter.white35@example.com,281-200-8578,Platinum
36,Grace,Brown,grace.brown36@domain.org,158-376-2292,Platinum
37,John,Brown,john.brown37@example.com,619-442-4065,Gold
38,Grace,King,grace.king38@example.com,667-897-1326,Bronze
39,Peter,Black,peter.black39@mail.com,398-852-1820,Silver
40,Jane,Doe,jane.doe40@example.com,175-625-2048,Silver
41,Jane,Jones,jane.jones41@domain.org,448-435-9778,Bronze
42,John,Jones,john.jones42@example.com,555-975-2570,Gold
43,Diana,King,diana.king43@domain.org,905-892-5090,Platinum
44,John,Hall,john.hall44@mail.com,779-819-2292,Gold
45,Grace,White,grace.white45@example.com,932-136-3655,Silver
46,Jane,Lee,jane.lee46@example.com,522-627-2483,Bronze
47,Diana,Brown,diana.brown47@example.com,682-991-7351,Platinum
48,Eve,Brown,eve.brown48@domain.org,317-911-7551,Silver
49,Jane,Brown,jane.brown49@example.com,556-168-4441,Silver
50,Frank,Lee,frank.lee50@service.net,509-695-4104,Platinum
51,Jane,Smith,jane.smith51@mail.com,307-701-8725,Gold
52,Jane,Smith,jane.smith52@example.com,498-954-7401,Platinum
53,Charlie,Doe,charlie.doe53@service.net,472-624-5185,Gold
54,Charlie,King,charlie.king54@domain.org,662-913-6384,Silver
55,Diana,Jones,diana.jones55@mail.com,155-781-9222,Silver
56,Frank,Hall,frank.hall56@service.net,780-586-6685,Gold
57,Grace,Green,grace.green57@example.com,738-543-6418,Silver
58,Diana,White,diana.white58@example.com,238-641-1853,Silver
59,Alice,King,alice.king59@example.com,416-989-9701,Bronze
60,Grace,Black,grace.black60@example.com,646-689-1659,Silver
61,Grace,Hall,grace.hall61@domain.org,794-342-8704,Platinum
62,Bob,White,bob.white62@example.com,402-469-4263,Bronze
63,Grace,White,grace.white63@mail.com,687-223-6472,Bronze
64,Charlie,Hall,charlie.hall64@domain.org,843-949-2602,Bronze
65,Eve,Green,eve.green65@service.net,792-590-4231,Platinum
66,Jane,King,jane.king66@domain.org,954-876-4619,Silver
67,Bob,Smith,bob.smith67@example.com,122-987-4804,Silver
68,Peter,King,peter.king68@service.net,192-872-4740,Silver
69,Bob,Smith,bob.smith69@service.net,329-503-3604,Bronze
70,Charlie,Doe,charlie.doe70@mail.com,867-745-2229,Silver
71,Eve,Hall,eve.hall71@example.com,143-558-3191,Bronze
72,Charlie,King,charlie.king72@example.com,982-560-7986,Bronze
73,Diana,Smith,diana.smith73@domain.org,463-304-6415,Silver
74,Eve,Black,eve.black74@service.net,404-835-4128,Bronze
75,Diana,White,diana.white75@example.com,607-465-8166,Silver
76,Eve,Lee,eve.lee76@service.net,244-109-8837,Gold
77,Diana,Brown,diana.brown77@example.com,559-115-9656,Platinum
78,Alice,Black,alice.black78@mail.com,452-679-9943,Silver
79,Alice,Doe,alice.doe79@domain.org,404-349-3832,Gold
80,Diana,Brown,diana.brown80@mail.com,151-900-4909,Platinum
81,Peter,Smith,peter.smith81@example.com,197-990-8858,Bronze
82,John,Black,john.black82@mail.com,244-594-5391,Platinum
83,Peter,King,peter.king83@domain.org,645-765-3871,Bronze
84,Diana,King,diana.king84@mail.com,110-915-6117,Bronze
85,Peter,Lee,peter.lee85@mail.com,828-688-3625,Gold
86,Alice,White,alice.white86@mail.com,744-718-8181,Gold
87,Charlie,Black,charlie.black87@service.net,992-992-6664,Silver
88,Peter,King,peter.king88@service.net,180-525-8349,Bronze
89,Alice,Hall,alice.hall89@example.com,185-472-9877,Bronze
90,Diana,White,diana.white90@example.com,895-884-7059,Gold
91,Grace,King,grace.king91@example.com,429-970-2196,Bronze
92,John,Brown,john.brown92@service.net,593-587-7490,Gold
93,John,Lee,john.lee93@service.net,602-903-2055,Platinum
94,Bob,Green,bob.green94@example.com,498-771-5514,Platinum
95,Peter,Brown,peter.brown95@mail.com,902-122-4480,Platinum
96,Grace,Brown,grace.brown96@example.com,897-842-4561,Silver
97,Bob,King,bob.king97@service.net,345-776-1900,Platinum
